model	solver	cond	K	ccdc	ccdc_n	meta2	meta2_n	meta3	meta3_n	vulnhub	vulnhub_n	meta4	meta4_n	overall	overall_n
MiniMax-M2.7	basic	D1	1	80.5	41	-	0	-	0	66.7	6	-	0	78.7	47
MiniMax-M2.7	basic	D1	5	87.8	41	-	0	-	0	83.3	6	-	0	87.2	47
MiniMax-M2.7	lats	D1	1	6.0	50	5.0	40	10.5	19	3.4	29	2.0	98	4.2	236
MiniMax-M2.7	lats	D1	5	22.0	50	10.0	40	21.1	19	20.7	29	8.2	98	14.0	236
MiniMax-M2.7	react	D1	1	84.0	50	82.5	40	78.9	19	86.7	30	66.3	98	76.4	237
MiniMax-M2.7	react	D1	5	92.0	50	92.5	40	84.2	19	90.0	30	79.6	98	86.1	237
MiniMax-M2.7	react	0D	1	45.2	42	36.8	38	16.7	18	41.4	29	38.9	90	38.2	217
MiniMax-M2.7	react	0D	5	52.4	42	52.6	38	22.2	18	55.2	29	52.2	90	50.2	217
Qwen3.5-9B	basic	D1	1	86.0	50	92.6	27	92.3	13	96.0	25	97.0	33	91.9	148
Qwen3.5-9B	basic	D1	5	86.0	50	100.0	27	100.0	13	96.0	25	100.0	33	94.6	148
Qwen3.5-9B	basic	0D	1	22.0	50	-	0	-	0	-	0	-	0	22.0	50
Qwen3.5-9B	basic	0D	5	28.0	50	-	0	-	0	-	0	-	0	28.0	50
Qwen3.5-9B	lats	D1	1	4.0	50	-	0	-	0	-	0	-	0	4.0	50
Qwen3.5-9B	lats	D1	5	8.0	50	-	0	-	0	-	0	-	0	8.0	50
Qwen3.5-9B	lats	0D	1	0.0	50	-	0	-	0	-	0	-	0	0.0	50
Qwen3.5-9B	lats	0D	5	0.0	50	-	0	-	0	-	0	-	0	0.0	50
Qwen3.5-9B	plan_and_solve	D1	1	42.0	50	69.2	13	-	0	-	0	-	0	47.6	63
Qwen3.5-9B	plan_and_solve	D1	5	62.0	50	100.0	13	-	0	-	0	-	0	69.8	63
Qwen3.5-9B	plan_and_solve	0D	1	0.0	50	-	0	-	0	-	0	-	0	0.0	50
Qwen3.5-9B	plan_and_solve	0D	5	0.0	50	-	0	-	0	-	0	-	0	0.0	50
Qwen3.5-9B	react	D1	1	88.0	50	79.5	39	92.9	14	80.0	30	66.3	104	76.4	237
Qwen3.5-9B	react	D1	5	90.0	50	89.7	39	100.0	14	83.3	30	67.3	104	79.7	237
Qwen3.5-9B	react	0D	1	32.0	50	-	0	-	0	-	0	-	0	32.0	50
Qwen3.5-9B	react	0D	5	36.0	50	-	0	-	0	-	0	-	0	36.0	50
Qwen3.5-9B	reflexion	D1	1	86.0	50	74.4	39	66.7	18	90.0	30	61.5	104	72.6	241
Qwen3.5-9B	reflexion	D1	5	92.0	50	87.2	39	83.3	18	90.0	30	67.3	104	79.7	241
Qwen3.5-9B	reflexion	0D	1	26.0	50	-	0	-	0	-	0	-	0	26.0	50
Qwen3.5-9B	reflexion	0D	5	38.0	50	-	0	-	0	-	0	-	0	38.0	50
