model	scenario	points	points_max	normalised_pct
minimax-m2.7	hivestorm/scenario-01-debian9	26.0	43.0	60.5
minimax-m2.7	hivestorm/scenario-02-ubuntu1604	20.0	39.0	51.3
minimax-m2.7	hivestorm/scenario-03-win10	12.0	25.0	48.0
minimax-m2.7	hivestorm/scenario-04-win2019	12.0	23.0	52.2
minimax-m2.7	hivestorm/scenario-05-win2016	12.0	23.0	52.2
minimax-m2.7	hivestorm/scenario-06-debian9-postgres	18.0	49.0	36.7
minimax-m2.7	hivestorm/scenario-07-ubuntu1804-samba	24.0	51.0	47.1
minimax-m2.7	hivestorm/scenario-08-win-iis	18.0	31.0	58.1
minimax-m2.7	hivestorm/scenario-09-ubuntu-nginx-phpbb	16.0	49.0	32.7
minimax-m2.7	hivestorm/scenario-10-ubuntu-faillock	18.0	27.0	66.7
minimax-m2.7	hivestorm/scenario-11-win-dc-dns	-	-	-
minimax-m2.7	hivestorm/scenario-12-centos7-lamp	24.0	53.0	45.3
minimax-m2.7	hivestorm/scenario-15-docker-host	18.0	29.0	62.1
minimax-m2.7	hivestorm/scenario-16-nginx-phpfpm	20.0	41.0	48.8
qwen3.5-9b	hivestorm/scenario-02-ubuntu1604	-	-	-
qwen3.5-9b	hivestorm/scenario-06-debian9-postgres	16.0	49.0	32.7
qwen3.5-9b	hivestorm/scenario-07-ubuntu1804-samba	-	-	-
qwen3.5-9b	hivestorm/scenario-09-ubuntu-nginx-phpbb	-	-	-
qwen3.5-9b	hivestorm/scenario-12-centos7-lamp	-	-	-
qwen3.5-9b	hivestorm/scenario-15-docker-host	-	-	-
qwen3.5-9b	hivestorm/scenario-16-nginx-phpfpm	-	-	-
minimax-m2.7	MEAN	-	n=13	50.9
qwen3.5-9b	MEAN	-	n=1	32.7
